IRIS;LIBIRIS;COM;LIBCOM;REG;DEP;ARR;CV;ZE1990;NBMEN06;RFMQ106;RFMQ206;RFMQ306;RFMIQ06;RFMD106;RFMD206;RFMD306;RFMD406;RFMD606;RFMD706;RFMD806;RFMD906;RFMRD06;RFMET06;RFMMO06;RFMGI06
10040101;LES PEROUSES-TRIANGLE D'ACTIVITE;1004;Ambérieu-en-Bugey;82;1;11;101;8210;669;14483;22470;34417;19934;8396;13189;15410;18513;26074;31071;38789;50042;6.0;19311.11;26536.01;0.3604
10040102;LONGERAY-GARE;1004;Ambérieu-en-Bugey;82;1;11;101;8210;1339;13703;20238;31474;17771;7535;12488;14821;17420;23531;29164;34268;43654;5.8;16980.57;24075.43;0.3515
10040201;CENTRE-ST GERMAIN-VAREILLES;1004;Ambérieu-en-Bugey;82;1;11;101;8210;1551;15099;22989;35352;20253;10072;14030;16680;19353;27555;32221;38723;49412;4.9;21575.44;27777.72;0.3522
10040202;TIRET-LES ALLYMES;1004;Ambérieu-en-Bugey;82;1;11;101;8210;1518;19929;32320;47692;27763;14304;18100;22722;27223;37572;43567;51526;65612;4.6;42880.81;39160.23;0.3661
10330101;COUPY-VANCHY;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;535;14598;21669;35879;21281;;;;;;;;;;;;
10330102;CENTRE VILLE;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;1379;13242;19528;30451;17209;7529;11767;14416;16993;23216;28232;33907;44004;5.8;19019.62;23838.57;0.3674
10330201;ARC VOUVRAY-GARE-CHATILLON;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;996;16837;27702;43050;26214;10227;14604;18554;22675;33320;39009;46624;61406;6.0;25223.38;33187.59;0.3751
10330202;PLATEAU DE MUSINENS;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;1055;14796;22916;35565;20769;7468;12955;16372;19767;27553;32955;38973;51412;6.9;19507.63;26891.42;0.3621
10330301;ARLOD;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;491;16329;24796;37904;21575;;;;;;;;;;;;
10530101;CENTRE-VILLE;1053;Bourg-en-Bresse;82;1;12;199;8203;1077;12432;18820;30702;18270;6000;10906;13811;16087;22979;27650;35228;49727;8.3;27965.63;25713.24;0.4347
10530102;CHAMP-DE-FOIRE;1053;Bourg-en-Bresse;82;1;12;199;8203;1140;14180;21527;32875;18695;8426;12588;15479;18018;24831;29274;36528;49540;5.9;28013.89;27114.72;0.3940
10530103;PREFECTURE;1053;Bourg-en-Bresse;82;1;12;199;8203;796;13760;23223;37977;24218;6572;11922;15353;18862;27859;33254;44190;62494;9.5;41897.21;33377.72;0.4826
10530201;CITADELLE;1053;Bourg-en-Bresse;82;1;12;199;8203;825;15432;22794;34667;19235;9167;13932;16616;20000;27037;31805;38858;51173;5.6;105976.28;31426.85;0.4350
10530202;MAIL;1053;Bourg-en-Bresse;82;1;12;199;8203;944;13979;20122;30411;16432;7519;12360;15161;17542;23927;27898;32903;41963;5.6;16407.88;23774.18;0.3465
10530203;PELOUX;1053;Bourg-en-Bresse;82;1;12;199;8203;976;15069;22715;33625;18556;8609;13614;16396;19407;25830;30291;36665;47649;5.5;19219.60;26461.50;0.3540
10530301;GARE;1053;Bourg-en-Bresse;82;1;12;199;8203;1282;15371;23441;36875;21504;8465;13705;16857;20380;27694;33166;41172;62295;7.4;33873.61;31899.03;0.4273
10530302;BROU;1053;Bourg-en-Bresse;82;1;12;199;8203;1404;14917;21642;33575;18658;8897;13502;16082;18453;25219;29663;37163;51728;5.8;33019.84;28202.59;0.4022
10530401;VENNES-OUEST;1053;Bourg-en-Bresse;82;1;12;199;8203;988;14831;22689;34184;19353;9380;13387;16337;19348;26788;30987;37950;50460;5.4;19856.81;27254.02;0.3568
10530402;VENNES-EST;1053;Bourg-en-Bresse;82;1;12;199;8203;955;20628;30243;43280;22652;14547;19364;22337;25867;34212;40010;47853;59880;4.1;29012.20;35623.80;0.3219
10530501;BAUDIERES;1053;Bourg-en-Bresse;82;1;12;199;8203;705;17741;27371;38846;21105;12809;16218;19559;23551;30887;35330;43195;54111;4.2;20034.18;31065.66;0.3162
10530502;SARDIERES;1053;Bourg-en-Bresse;82;1;12;199;8203;1194;16357;24870;39665;23308;11006;14691;18021;21181;29651;35473;44346;58411;5.3;33127.22;32870.61;0.3943
10530503;CROIX-BLANCHE;1053;Bourg-en-Bresse;82;1;12;199;8203;1006;9100;15331;23995;14895;3116;7586;10804;13183;17888;21966;27643;36517;11.7;18264.19;18936.90;0.4220
10530601;PONT-DES-CHEVRES;1053;Bourg-en-Bresse;82;1;12;199;8203;1100;12711;18525;27008;14297;7085;11473;13813;16333;21405;24996;29392;37005;5.2;15336.12;21220.40;0.3372
10530602;REYSSOUZE-OUEST;1053;Bourg-en-Bresse;82;1;12;199;8203;849;12329;18589;26936;14607;6326;10904;13330;15816;21417;24916;29634;37427;5.9;13829.65;20887.19;0.3451
