IRIS;LIBIRIS;COM;LIBCOM;REG;DEP;ARR;CV;ZE2010;NBMEN11;RFMQ111;RFMQ211;RFMQ311;RFMIQ11;RFMD111;RFMD211;RFMD311;RFMD411;RFMD611;RFMD711;RFMD811;RFMD911;RFMRD11;RFMET11
10040101;LES PEROUSES-TRIANGLE D'ACTIVITE;1004;Ambérieu-en-Bugey;82;1;11;101;8201;723;15175;24856;39600;24425;8553;13213;16651;20308;29808;35683;43197;54429;6.4;27532.86
10040102;LONGERAY-GARE;1004;Ambérieu-en-Bugey;82;1;11;101;8201;1531;14838;22142;34204;19366;7179;12700;16112;19157;26509;31062;38194;48437;6.7;21908.40
10040201;CENTRE-ST GERMAIN-VAREILLES;1004;Ambérieu-en-Bugey;82;1;11;101;8201;1734;16432;25242;38090;21658;10387;14993;18089;21157;29227;34425;43089;54434;5.2;24448.27
10040202;TIRET-LES ALLYMES;1004;Ambérieu-en-Bugey;82;1;11;101;8201;1838;22137;35703;51539;29402;14671;19811;25155;30535;41024;47301;56825;71711;4.9;230574.07
10330101;COUPY-VANCHY;1033;Bellegarde-sur-Valserine;82;1;14;103;8219;560;14467;23984;44573;30106;;;;;;;;;;
10330102;Centre ville;1033;Bellegarde-sur-Valserine;82;1;14;103;8219;1534;14194;21797;36260;22066;6672;12134;15840;18535;25833;32309;40152;55033;8.2;22760.75
10330201;ARC VOUVRAY-GARE-CHATILLON;1033;Bellegarde-sur-Valserine;82;1;14;103;8219;1099;18786;32377;51436;32650;11395;16723;20746;26177;38954;46680;59318;79608;7.0;37307.03
10330202;PLATEAU DE MUSINENS;1033;Bellegarde-sur-Valserine;82;1;14;103;8219;1098;15239;25370;40990;25751;8118;13076;17122;21713;30802;37193;44757;61497;7.6;23429.11
10330301;ARLOD;1033;Bellegarde-sur-Valserine;82;1;14;103;8219;629;17394;27238;45494;28100;10377;15125;19636;22542;34268;41530;50319;66844;6.4;25262.44
10530101;CENTRE-VILLE;1053;Bourg-en-Bresse;82;1;12;199;8202;972;12941;20163;32889;19948;5898;10797;14263;17087;23836;29417;37149;56442;9.6;28839.38
10530102;CHAMP-DE-FOIRE;1053;Bourg-en-Bresse;82;1;12;199;8202;1192;14866;22956;35649;20783;8179;13299;16774;19647;26522;31888;39469;53698;6.6;30537.17
10530103;PREFECTURE;1053;Bourg-en-Bresse;82;1;12;199;8202;862;15610;25332;42016;26406;8556;13605;17725;21408;29655;36850;49212;70514;8.2;41952.67
10530201;CITADELLE;1053;Bourg-en-Bresse;82;1;12;199;8202;941;16846;24275;36397;19551;10071;14837;18422;21414;28770;33817;40801;52766;5.2;26641.99
10530202;MAIL;1053;Bourg-en-Bresse;82;1;12;199;8202;957;14448;21512;32337;17889;6759;12406;16104;18731;24777;29554;36117;45887;6.8;20867.49
10530203;PELOUX;1053;Bourg-en-Bresse;82;1;12;199;8202;990;16254;24500;35857;19603;7492;14663;18064;21448;28411;32774;40771;53714;7.2;24505.16
10530301;GARE;1053;Bourg-en-Bresse;82;1;12;199;8202;1354;17652;27015;40446;22794;10421;15973;19129;23001;31299;37030;46895;65789;6.3;32377.20
10530302;BROU;1053;Bourg-en-Bresse;82;1;12;199;8202;1427;15874;23128;35398;19524;9658;14096;17561;19777;26815;32449;40451;55415;5.7;33612.42
